"","Name","Year","WarName"
"1","Siege of Antwerp ","1914"," – World War I"
"2","Siege of Maubeuge ","1914"," – World War I"
"3","Siege of Przemyśl ","1914–15"," "
"4","Siege of Medina ","1916–19"," – World War I"
"5","Battle of Jerusalem ","1917"," – World War I"
"6","Siege of the Alcázar ","1936"," – Second Spanish Republic militias besieged the Alcázar of Toledo in the Spanish Civil War"
"7","Siege of Gijon ","1936"," – Spanish Civil War"
"8","Siege of Oviedo ","1936"," – Spanish Civil War"
"9","Siege of Madrid ","1936–39"," – Spanish Civil War"
"10","Siege Dunkirk ","1940","– World War II"
"11","Siege of Malta ","1940","1943"
"12","Siege of Tobruk ","1941"," – World War II"
"13","Siege of Odessa ","1941"," – World War II"
"14","Siege of Sevastopol ","1941–42"," – World War II"
"15","Siege of Leningrad ","1941–44"," – also known as the 900"
"16","Siege of Stalingrad ","1942–1943"," – World War II"
"17","Siege of Dunkirk ","1944–1945"," – World War II"
"18","Siege of Budapest ","1944–1945","– World War II"
"19","Siege of Monte Cassino ","1944","– World War II"
"20","Siege of Saint-Lô ","1944","– World War II"
"21","Siege of Bastogne ","1944"," – World War II"
"22","Siege of La Rochelle ","1944","1945"
"23","Siege of Breslau ","1945"," – World War II"
"24","Siege of Berlin ","1945","– World War II"
"25","Siege of Iwo Jima ","1945","– World War II"
"26","Siege of Okinawa ","1945","– World War II"
"27","Siege of Jerusalem ","1947–1948"," – 1948 Arab–Israeli War – Palestinian Arabs laid siege to the Jewish quarters of Jerusalem, but were driven back. Siege was resumed in May by regular Jordanian and Egyptian forces. Ended in armistice."
"28","Siege of Changchun ","1948"," – Chinese Civil War"
"29","Berlin Blockade ","1948–49"," – No military action, but the tactic to starve a city by cutting her supply lines is a feature of a siege. The famous Berlin Air Lift supplied the city with food, coal, medical supplies and other goods for nearly a year."
"30","Siege of Dien Bien Phu ","1954"," – Vietnamese Viet Minh forces besieged French forces, effecting a final defeat on France's colonial occupation."
"31","Siege of Jadotville ","1961"," – Congo Crisis"
"32","Siege of Puerto Cabello ","1962"," "
"33","Siege of Erenköy ","1964"," – Turkish Cypriots holding out against attacking Greek and Greek Cypriot forces. Turkish invasion of Cyprus"
"34","Encirclement of Jerusalem ","1967"," – Six"
"35","Siege of Aleppo ","1980"," – Islamist uprising in Syria"
"36","Siege of Abadan ","1980–81"," – Iran–Iraq War"
"37","Siege of Beirut ","1982"," "
"38","Siege of Basra ","1987"," – Iran–Iraq War"
"39","Siege of Kijevo ","1991"," – Croatian War of Independence"
"40","Siege of Vukovar ","1991"," – Croatian War of Independence"
"41","Siege of Dubrovnik ","1991–92"," – Croatian War of Independence"
"42","Siege of Sarajevo ","1992–96"," – Bosnian War"
"43","Siege of Bihać ","1992–95"," – Bosnian War"
"44","Siege of Tkvarcheli ","1992–93"," – War in Abkhazia "
"45","Siege of Goražde ","1992–95"," – Bosnian War"
"46","Battle of Junik ","1998"," – Kosovo War"
"47","Battle of Grozny ","1999–2000"," – Second Chechen War"
"48","Siege of Kunduz ","2001"," – War in Afghanistan "
"49","Siege of the Church of the Nativity in Bethlehem ","2002"," – Second Intifada"
"50","Siege of Monrovia ","2003"," – Second Liberian Civil War"
"51","Siege of Sadr City ","2004–2008"," – Iraq War"
"52","CIMIC-House ","2006"," – Iraq War"
"53","Siege of Nahr el-Bared ","2007"," – Lebanon"
"54","Siege of the Gaza Strip ","2007–present"," – Gaza Strip"
"55","Siege of Misrata ","2011"," – Libyan Civil War"
"56","Siege of Daraa ","2011"," – Syrian Civil War"
"57","Siege of Homs ","2011–2014"," – Syrian Civil War"
"58","Siege of Baniyas ","2011"," – Syrian Civil War"
"59","May 2011 Talkalakh siege ","2011"," – Syrian Civil War"
"60","Siege of Rastan and Talbiseh ","2011"," – Syrian Civil War"
"61","Siege of Hama ","2011"," – Syrian Civil War"
"62","Siege of Latakia ","2011"," – Syrian Civil War"
"63","Battle of Aleppo ","2012–present"," – Syrian Civil War"
"64","Siege of Menagh Air Base ","2012–2013"," – Syrian Civil War"
"65","Siege of Bani Walid ","2012"," – Factional violence in Libya "
"66","First Siege of Wadi Deif ","2012–2013"," – Syrian Civil War"
"67","Second Siege of Wadi Deif ","2014"," – Syrian Civil War"
"68","Siege of Sloviansk ","2014"," "
"69","Siege of the Luhansk Border Base ","2014"," "
"70","Siege of Amirli ","2014"," – Iraqi Civil War"
"71","Battle of Ilovaisk ","2014"," – War in Donbass"
"72","Siege of Kobanî ","2014–2015"," – Syrian Civil War"
"73","Siege of Al-Fu'ah-Kafriya ","2015–2016"," – Syrian Civil War"
"74","Siege of Fallujah ","2016"," – Iraqi Civil War"
"75","Siege of Mosul ","2017","– Iraqi Civil War"
"76","Sieges in Syrian Civil War[1]",NA,NA
